ID_Unico,ID_Producto,Tipo_Material,Temp_Aire_K,Temp_Proceso_K,Velocidad_Rotacion_RPM,Torque_Nm,Desgaste_Herramienta_min,Falla_Maquina,Falla_Desgaste_Herramienta,Falla_Disipacion_Calor,Falla_Potencia,Falla_Sobreesfuerzo,Falla_Aleatoria,Potencia_W,Dif_temperatura_K,Esfuerzo_desgaste,Estado_Falla
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,6951.952077747988,10.5,0.0,No Falla
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,6827.077747989276,10.5,138.89999999999998,No Falla
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,7749.790549597855,10.399999999999977,247.0,No Falla
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,5927.812918900804,10.400000000000034,276.5,No Falla
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,5898.123324396783,10.5,360.0,No Falla
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,6252.87994302949,10.5,460.9,No Falla
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,6918.063002680965,10.5,593.6,No Falla
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,6428.598357908847,10.5,643.2,No Falla
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,4992.899631367292,10.399999999999977,514.8000000000001,No Falla
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,5105.144101876675,10.5,588.0,No Falla
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,4460.225368632708,10.5,573.5999999999999,No Falla
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,6601.761477882037,10.5,1284.6999999999998,No Falla
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,7165.601960455765,10.5,1737.4,No Falla
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,5472.939008042896,10.599999999999966,1110.0,No Falla
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,4177.06936997319,10.599999999999966,784.0,No Falla
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,7815.934986595174,10.599999999999966,2032.8,No Falla
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,6397.934819034853,10.599999999999966,2050.4,No Falla
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,6733.4115281501345,10.5,2143.2000000000003,No Falla
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,7454.025636729222,10.399999999999977,2725.0,No Falla
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,5554.624664879357,10.400000000000034,1787.5,No Falla
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,6148.678367962467,10.400000000000034,2476.6000000000004,No Falla
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,6802.949061662198,10.5,2822.3999999999996,No Falla
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,5083.01566689008,10.400000000000034,1995.5,No Falla
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,4731.547419571046,10.399999999999977,1747.6,No Falla
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,6097.65625,10.399999999999977,2611.0,No Falla
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,4541.020861260054,10.5,1700.9,No Falla
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,6175.435656836461,10.399999999999977,2925.0,No Falla
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,4665.570542895443,10.299999999999955,1894.2,No Falla
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,6660.9207439678285,10.299999999999955,3624.4,No Falla
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,5336.722939008043,10.399999999999977,2528.4,No Falla
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,6758.943532171582,10.399999999999977,4145.2,No Falla
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,4801.5457439678285,10.399999999999977,2269.5,No Falla
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,7177.624413538873,10.399999999999977,4395.3,No Falla
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,5666.94244302949,10.400000000000034,3022.5,No Falla
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,5665.350619973191,10.300000000000011,3296.5000000000005,No Falla
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,7390.164209115282,10.399999999999977,4762.8,No Falla
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,6076.438924262735,10.300000000000011,3706.7000000000003,No Falla
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,5907.422922252011,10.300000000000011,4076.8,No Falla
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,7321.893850536193,10.300000000000011,5374.200000000001,No Falla
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,7422.398626005362,10.300000000000011,5827.5,No Falla
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,6475.661863270777,10.300000000000011,5130.2,No Falla
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,7277.815013404826,10.300000000000011,5842.0,No Falla
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,7034.266085790885,10.300000000000011,5744.7,No Falla
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,6968.624329758713,10.399999999999977,5820.0,No Falla
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,7322.386058981233,10.300000000000011,5937.5,No Falla
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,7656.448977882039,10.300000000000011,6284.8,No Falla
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,4979.620475871314,10.300000000000011,3354.0,No Falla
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,6875.5655160857905,10.300000000000011,6157.9,No Falla
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,8043.680881367292,10.399999999999977,7276.5,No Falla
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,6521.154490616623,10.300000000000011,6174.0,No Falla
